,image,caption,Unnamed: 2
2326,frame16777.jpg,jerry is angry,
14611,frame3599.jpg,tom is holding a chick and jerry is scared,
35496,frame71194.jpg,tom is relaxed,
20267,frame45055.jpg,tom is choking jerry is looking at jerry is holding a towel jerry,
11093,frame30921.jpg,jerry is tied getting chef dress and pointing,
32395,frame66108.jpg,tom and jerry is standing by a bird is frightened,
13735,frame34500.jpg,jerry is thinking and lying on the door,
4517,frame20245.jpg,tom is holding a hit of a baguette in a baby,
6773,frame24137.jpg,tom is standing against tom's sword in hands and plot,
32418,frame66146.jpg,tom is scared,
32113,frame65584.jpg,tom is flying to that is playing the plane is playing scare he is leaning on the man squating,
34593,frame69511.jpg,tom is angry,
6215,frame23281.jpg,tom is waving a gray duck and smiling and knife and screaming,
30569,frame61742.jpg,tom is leaning away and smiling,
12942,frame33362.jpg,tom is shrinking,
7497,frame25300.jpg,tom is running to catch tom is pulling a napkin and surprised,
26596,frame54945.jpg,tom is trying to water and smiling,
25503,frame53166.jpg,jerry is leaning on the green tray jerry and smirking and is scared,
22867,frame48908.jpg,jerry is jumping to the ground,
6040,frame22930.jpg,tom and smiling,
32431,frame66159.jpg,tom's head jerry is using a tray it,
34947,frame70134.jpg,tom and looking at the dog are leaning on a napkin,
2311,frame16762.jpg,tom is tree in the foot,
4592,frame20375.jpg,tom and is hanging on the air,
15734,frame37823.jpg,tom is standing,
17846,frame41018.jpg,tom is holding a mousetrap,
3399,frame18158.jpg,tom is smirking,
11394,frame31255.jpg,jerry is smiling,
2289,frame16733.jpg,tom is sneaking on front of his left happily,
16686,frame3917.jpg,tom is smiling,
16552,frame39028.jpg,tom is frightened,
6297,frame23399.jpg,tom is standing on a stick,
24959,frame52364.jpg,jerry is running,
6616,frame23918.jpg,tom is shaking honey closing hands surprisingly,
5814,frame22586.jpg,tom is holding a bed and holding a basin a towel and holding a sandwich in a bird and performing by one sword with a railing,
4956,frame21039.jpg,jerry is holding a sponn a clock,
22925,frame49009.jpg,tom is holding a hat and jerry is covering the right and looking at the left a clock,
16772,frame39297.jpg,tom is scared,
22273,frame48020.jpg,tom is holding a has white column,
19995,frame44472.jpg,jerry is walking with a baby,
8862,frame27528.jpg,tom is chasing nothing,
26347,frame54550.jpg,jerry is lying down and is watching,
4225,frame19665.jpg,jerry is falling from sluggish,
13689,frame34455.jpg,tom is standing on the matches,
31871,frame65261.jpg,tom is flying and smiling,
10516,frame30127.jpg,tom is puzzled,
3507,frame18337.jpg,tom is holding a grey mouse is full of milk and throwing gourd,
28013,frame57348.jpg,tom is scared,
17295,frame40054.jpg,jerry bubbles,
22071,frame47753.jpg,jerry is giving the black cat is running and is holding a pot,
11992,frame32074.jpg,tom is passing the dog is holding a dog,
4785,frame20738.jpg,tom is sitting beside a branch,
